Mask;Score;Gen
?u?u?u?u?l;-4.8;7
?u?u?l?u?l;-4.6;7
?l?u?u?u?u;-4.2;7
?u?u?u?u?l;-4.8;7
?l?u?u?s?u;-0.0;7
?l?u?l?u?u;-3.2;7
?l?u?u?l?l;-4.833333333333333;7
?l?u?u?u?l;-4.0;7
?l?u?u?u?l;-4.0;7
?l?u?u?u?s;-0.0;7
;-0.0;7
?u?u?u?u?l;-4.8;8
?l?l?u;-0.0;8
?u?u?u?u?l;-4.8;8
?u?u?u?u?l;-4.8;8
?u?u?u?u?l;-4.8;8
?l?u?u?l?l;-4.833333333333333;8
?u?u?d?u?l;-3.3333333333333335;8
?u?u?l?d?s;-0.0;8
;-0.0;8
?l?l?u?u?u;-5.166666666666667;8
?u?u?u?d?d;-10.4;8
?l?u?u?u?l;-4.0;8
?u?u?u?u?l;-4.8;8
?l?u?u?u?l;-4.0;8
?u?u?s?u?s;-0.0;8
?u?u?u?u?l;-4.8;8
?u?u?u?l?l;-7.2;8
?l?u?u?u?l;-4.0;8
?l?s?u?u?l;-0.0;8
?u?u?l?u?l?l?l?s;-0.0;8
?u?u?u?l?l;-7.2;8
?l?u?u?u?l;-4.0;8
?l?u?u?u?l;-4.0;8
?u?u?u?u?l?u?l?s;-0.0;8
?l?l?u?u?l;-4.833333333333333;8
?u?u?u?u?l;-4.8;8
?s?u?u?u?l;-0.0;8
?u?u?u?u?l;-4.8;8
?l?u?u?u?l;-4.0;8
?s?u?u?u?l?s?l?s;-0.0;8
?l?u?u?d?s;-0.0;8
?l?u?u?l?l;-4.833333333333333;8
?u?u?l;-0.0;8
?u?l?u?u?l;-3.5;8
?u?u?u?u?s;-0.16666666666666666;8
?l?u?u?u?l;-4.0;8
;-0.0;8
;-0.0;8
?l?u?u?u?l;-4.0;8
?l?l?u?u?l;-4.833333333333333;8
?u?u?u?u?l;-4.8;8
?l?u?u?l?l;-4.833333333333333;8
?l?l?u?u?l;-4.833333333333333;8
?l?u?l?u?l;-4.5;8
?l?u?u?u?l;-4.0;8
